orig_index,llm,char,main_character,zero_shot,character_summary,concept_induction
27555,gpt,Iran,True,Executioner,Executioner,Executioner
27555,gpt,Revolutionary Guard,True,Victim,Victim,Victim
27555,gpt,Hassan Rouhani,False,Condemner,Condemner,Condemner
27555,gpt,Sistan-Baluchistan province,False,Conflict zone,Conflict zone,Conflict zone
48523,gpt,Javier Milei,True,Provocateur,Provocateur,Firebrand
48523,gpt,Argentina,True,Battleground,Struggler,Nation in flux
48523,gpt,Libertad Avanza,False,Disruptor,Disruptor,Political challenger
48523,gpt,China,False,Cautious partner,Influencer,Cautious partner
51140,gpt,Myanmar,True,Battleground,Conflict zone,Conflict zone
51140,gpt,China,True,Influencer,Mediator,Mediator
51140,gpt,Myanmar's military,False,Regime,Oppressor,Regime
51140,gpt,Three Brotherhood Alliance,False,Rebel,Rebel,Rebel
20356,gpt,India,True,Beneficiary,Beneficiary,Beneficiary
20356,gpt,Russia,True,Supplier,Supplier,Supplier
20356,gpt,Wistron,False,Acquisition target,Acquisition target,Acquisition target
20356,gpt,Burman family,False,Controversial acquirer,Contender,Accused
22452,gpt,Myanmar's military,True,Oppressor,Oppressor,Oppressor
22452,gpt,Three Brotherhood Alliance,True,Resistance,Rebel,Rebel
22452,gpt,Myint Swe,False,Caretaker,Figurehead,Figurehead
22452,gpt,United Nations,False,Mediator,Observer,Observer
27567,gpt,China,True,Strategist,Balancer,Balancer
27567,gpt,Russia,True,Opportunist,Aggressor,Supplier
27567,gpt,North Korea,False,Wildcard,Instigator,Opportunist
7868,gpt,U.S. Fish and Wildlife Service,True,Conservation advocate,Conservation advocate,Conservator
7868,gpt,Martha Williams,True,Protector,Conservation leader,Advocate
7868,gpt,Noah Greenwald,False,Biodiversity champion,Environmental activist,Alarmist
7868,gpt,Danielle Kessler,False,Biodiversity guardian,Biodiversity advocate,Protector
1216,gpt,Yossef Mekyton,True,Grieving advocate,Activist,Activist
1216,gpt,Khalil Abu Yahia,True,Martyr,Martyr,Martyr
1216,gpt,Benjamin Netanyahu,False,Aggressor,Leader,Leader
1216,gpt,Neta Golan,False,Resilient campaigner,Dissident,Advocate
18037,gpt,Gabe Amo,True,Trailblazer,Advocate,Advocate
18037,gpt,Gerry Leonard,True,Traditionalist,Critic,Patriot
18037,gpt,David Cicilline,False,Predecessor,Leader,Leader
18042,gpt,Amanda Pritchard,True,Advocate,Advocate,Leader
18042,gpt,Professor Peter Johnson,True,Supporter,Optimist,Supporter
18042,gpt,PwC,False,Cost-cutter,Downsizer,Corporation
18042,gpt,Duke and Duchess of Sussex,False,Eco-hypocrite,Hypocrite,Celebrity
32113,gpt,China,True,Collaborator,Collaborator,Polluter
32113,gpt,U.S.,True,Collaborator,Collaborator,Collaborator
32113,gpt,David Waskow,False,Critic,Advocate,Critic
32113,gpt,Lauri Myllyvirta,False,Analyst,Analyst,Analyst
50842,gpt,Sultan Al Jaber,True,Controversial figure,Defendant,Mediator
50842,gpt,ADNOC,True,Oil giant,Alleged collaborator,Corporation
50842,gpt,Christiana Figueres,False,Critic,Critic,Critic
50842,gpt,Centre for Climate Reporting,False,Whistleblower,Whistleblower,Whistleblower
6580,gpt,Yossi Sneider,True,Witness,Worried relative,Worried relative
6580,gpt,Shiri Bib,True,Victim,Victim,Victim
6580,gpt,Kfir,False,Innocent,Innocent,Innocent
6580,gpt,Margit Silverman,False,Vulnerable,Vulnerable,Missing
19340,gpt,Croatian Authorities,True,Investigator,Investigator,Investigator
