orig_index,llm,char,main_character,zero_shot,character_summary,concept_induction,random,filename,drive_image_id
1216,gpt,Yossef Mekyton,True,Grieving advocate,Activist,Activist,Diadactic,07.txt,1aiFgOJ5l5zr_HYfxxA4PggDN9AXx89JJ
4608,gpt,Iran,False,Adversary,Arms supplier,Adversary,Environmentalist,50.txt,1rz98W9yK_hLkiiB1-JOKykdX4y-bnIgG
4768,gpt,British Royal Family,True,Institution,Victim,Victim,Sleuth,53.txt,1AJee5kBd5e-A3n5RyKbOXKytTs02h9or
4857,gpt,U.N. Office for the Coordination of Humanitarian Affairs,True,Rescuer,Observer,Responder,Muse,55.txt,1SowybbTgWyCL2WTMYQI9ahMk1bGqVTJi
4889,gpt,News Agency,False,Informer,Reporter,Reporter,Convict,56.txt,1FopRj66OMzHsB3VoIzfwymuQTJ6PLXBe
6580,gpt,Yossi Sneider,True,Witness,Worried relative,Worried relative,Comic,12.txt,1ssgmXTchdwKa6HqnwktFd_gXrwVCanx4
6896,gpt,Pedro Argote,True,Suspect,Assailant,Fugitive,Educator,37.txt,1-fej_rdOPF9chqUrePaIWNrqJqV5G7X9
7699,gpt,Mike Lawler,False,Ally,Ally,Supporter,Alumnus,31.txt,1hiLzaTmmwU_M9bmex5lvRrla_wIZDut5
7868,gpt,Danielle Kessler,False,Biodiversity guardian,Biodiversity advocate,Protector,Assailant,06.txt,1nhF1udo_ZnlM_jyKqyFocdWNfcY3kJ2S
12194,gpt,tech industry,False,Gold rush,Opportunity magnet,Opportunity,Recorder,24.txt,1OF5PP1ZPOQGn3vekhxNpR5QxlDppDMTG
13651,gpt,Palestinian families,True,Survivor,Victim,Survivor,Millionaires,14.txt,1xzKaHuGwTjiMqaLa8e3QGKp3taoK0HKU
13662,gpt,Muhammad Abu Silmeyeh,False,Informant,Informer,Caretaker,Assault victim,17.txt,1pm5OKgmFM9SPfHI_DhGD5K2Ma-tkk1bU
