orig_index,llm,char,main_character,zero_shot,character_summary,concept_induction,random,filename,drive_image_id
4857,llama,Abdul Ghani Baradar,FALSE,Condoler,Leader,Sympathizer,Injured athlete,55.txt,1SowybbTgWyCL2WTMYQI9ahMk1bGqVTJi
7868,llama,Danielle Kessler,FALSE,Wildlife protector,Alarmist,Alarmist,Shipwright,06.txt,1nhF1udo_ZnlM_jyKqyFocdWNfcY3kJ2S
15312,llama,DK Shivakumar,TRUE,Denouncer,Accused,Accused,Vixen,15.txt,1XFBPx5a2Gi52t5aLQ-jj6pTFW6CV6rcn
18037,llama,Gerry Leonard,TRUE,Maverick,Traditionalist,Conservative,Magician,08.txt,1OGkCDQICkbUehtjUzBuFdOqIygE2adPa
18892,llama,Victims of the tragedy,TRUE,Mourned,Martyr,Martyr,Rising stars,57.txt,1Ldo_3tibGGhSFdgjmRVVAONc757AzZD9
20614,llama,United States,FALSE,Enabler,Rival,Counterweight,Magician,48.txt,1BzWR4vI2Hq-Gcan2vT0tXzi8YEhIdnZN
22452,llama,Myint Swe,FALSE,Authoritarian,Usurper,Alarmist,Perpetrator,04.txt,1SCKWg2paKfySvHN-sVs7McVnG3e38xML
22796,llama,Israeli government,TRUE,Accuser,Accuser,Adversary,Authoritarian,19.txt,139wsiHTtZN9leGpMw8Wmla1GIqiJKuAq
24453,llama,Supreme Court,FALSE,Arbitrator,Arbiter,Arbitrator,Arbor,29.txt,1yOTfxIhnO64ISs8wN7b4Jnoes3r67A04
27555,llama,Revolutionary Guard,TRUE,Victim,Target,Enforcer,Great parent,00.txt,102FdCpGaPl1noBB8BsndmmTuIILgnpfA
30510,llama,David Alphand,TRUE,Critic,Vocal critic,Watchdog,Addict,40.txt,1QIRiX8eHoc4aOykiOsPu3HHqqzJV3BD7
31052,llama,Vladimir Putin,FALSE,Figurehead,Figurehead,Adversary,Pollster,49.txt,1_5dnYUUT4BP-964bNXLna2IGMXslrWfb
33169,llama,FC Copenhagen,FALSE,Springboard,Springboard,Launchpad,Icon,39.txt,1T1uCJnw_Yj5gyMXqPe0-R6LlQEFe8tnZ
38722,llama,Maine,TRUE,Battleground,Battleground,Regulator,Distressor,26.txt,1XQgq5cCWfVjlrL9QQboEhmcMnXQjncfY
43032,llama,Rosalynn Carter,TRUE,Champion,Advocate,Champion,Spy agency,16.txt,1ljZhZF4Qyy0ETmzPZ-wXkiqTKmzKfMvx
43150,llama,United States,FALSE,Benefactor,Mediator,Enabler,Martyr,44.txt,1j7E9__e284OQ5kVNdvtiW5LER9TodSTF
45276,llama,Activision Blizzard,FALSE,Target,Precedent,Precedent,Pawn,42.txt,1QAUT7o6XMkEtloq1jeGEoVxGEl9awhUY
49812,llama,Jason J Eaton,TRUE,Perpetrator,Perpetrator,Suspect,Unsung hero,21.txt,1BB-cJ8pdsn6LNxcb3UOkIgEWyaUG5W13
50778,llama,Greece,FALSE,Aggrieved party,Pursuer,Beneficiary,Aggressor,34.txt,1TKV9C8V70dJlGjJoMEEU1IPORVXHWGvD
50780,llama,Narendra Modi,TRUE,Mentor,Mentor,Powerbroker,Organiser,30.txt,107Xp_lv3kn7X8aTlrP_ZQHO1O0AaeWG8
